latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
28.599998,77.20001,217.0,0,GMT,GMT

time,pm10 (μg/m³),pm2_5 (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³),carbon_monoxide (μg/m³)
2022-08-16T00:00,39.8,26.0,24.3,28.4,29.0,362.0
2022-08-16T01:00,35.9,21.4,26.5,27.1,28.0,369.0
2022-08-16T02:00,33.3,17.6,29.7,25.5,27.0,377.0
2022-08-16T03:00,35.2,17.8,31.5,24.1,31.0,380.0
2022-08-16T04:00,37.7,18.9,28.6,24.8,40.0,367.0
2022-08-16T05:00,42.6,20.1,23.7,26.2,52.0,346.0
2022-08-16T06:00,45.2,22.5,18.1,27.5,70.0,321.0
2022-08-16T07:00,47.5,25.4,15.9,26.9,85.0,309.0
2022-08-16T08:00,51.3,27.2,14.4,25.6,102.0,301.0
2022-08-16T09:00,56.6,28.9,15.2,24.5,115.0,299.0
2022-08-16T10:00,56.5,30.3,19.0,24.5,112.0,308.0
2022-08-16T11:00,51.6,26.8,25.0,24.9,102.0,323.0
2022-08-16T12:00,62.4,26.4,42.3,27.1,66.0,373.0
2022-08-16T13:00,61.5,24.9,43.2,27.2,61.0,381.0
2022-08-16T14:00,59.4,24.5,44.3,27.5,54.0,391.0
2022-08-16T15:00,56.5,23.1,44.3,27.8,45.0,396.0
2022-08-16T16:00,52.3,21.5,42.2,27.9,41.0,388.0
2022-08-16T17:00,49.4,20.3,39.0,28.0,37.0,373.0
2022-08-16T18:00,46.3,18.8,33.8,28.2,34.0,344.0
2022-08-16T19:00,42.5,17.1,29.2,28.1,33.0,312.0
2022-08-16T20:00,39.0,16.0,24.0,28.0,33.0,273.0
2022-08-16T21:00,36.3,15.4,18.7,28.0,33.0,235.0
2022-08-16T22:00,34.8,15.7,17.2,28.3,31.0,227.0
2022-08-16T23:00,34.3,16.4,17.0,28.7,29.0,231.0
2022-08-17T00:00,35.9,18.2,17.9,30.4,28.0,243.0
2022-08-17T01:00,36.2,18.6,18.8,31.1,27.0,265.0
2022-08-17T02:00,36.9,19.0,20.0,32.2,27.0,297.0
2022-08-17T03:00,34.5,16.5,21.1,33.0,30.0,326.0
2022-08-17T04:00,37.4,16.5,21.0,32.7,38.0,325.0
2022-08-17T05:00,43.4,18.7,20.4,31.8,49.0,313.0
2022-08-17T06:00,48.0,21.7,19.8,31.2,65.0,302.0
2022-08-17T07:00,52.5,25.3,19.5,32.0,81.0,305.0
2022-08-17T08:00,58.0,29.0,19.3,33.2,98.0,313.0
2022-08-17T09:00,57.4,28.9,21.0,34.9,112.0,326.0
2022-08-17T10:00,54.6,27.5,23.4,35.5,111.0,294.0
2022-08-17T11:00,50.8,25.7,26.9,36.0,104.0,252.0
2022-08-17T12:00,50.1,24.9,37.3,37.4,82.0,365.0
2022-08-17T13:00,53.4,28.9,51.0,42.0,61.0,658.0
2022-08-17T14:00,61.2,35.7,70.2,48.5,31.0,1076.0
2022-08-17T15:00,71.9,43.8,88.7,56.0,0.0,1553.0
2022-08-17T16:00,78.0,48.7,89.8,59.0,-6.0,1763.0
2022-08-17T17:00,81.0,51.5,84.5,60.7,-4.0,1906.0
2022-08-17T18:00,82.4,53.2,77.1,62.2,0.0,1977.0
2022-08-17T19:00,82.0,53.6,74.3,62.8,0.0,1906.0
2022-08-17T20:00,83.6,55.2,71.9,63.0,0.0,1750.0
2022-08-17T21:00,83.6,55.8,69.3,62.7,0.0,1546.0
2022-08-17T22:00,81.7,55.1,68.7,62.4,-1.0,1456.0
2022-08-17T23:00,81.0,55.2,68.6,61.8,-3.0,1382.0
2022-08-18T00:00,81.0,55.4,69.2,56.9,0.0,1230.0
2022-08-18T01:00,79.9,55.1,63.8,55.0,9.0,1085.0
2022-08-18T02:00,62.9,43.2,55.9,52.2,22.0,878.0
2022-08-18T03:00,44.7,30.0,44.8,47.2,42.0,633.0
2022-08-18T04:00,41.0,26.4,36.2,41.5,58.0,519.0
2022-08-18T05:00,41.4,26.1,27.0,34.8,77.0,433.0
2022-08-18T06:00,42.0,26.2,18.0,27.7,98.0,353.0
2022-08-18T07:00,44.0,27.3,14.6,25.1,112.0,317.0
2022-08-18T08:00,44.4,27.4,13.4,24.0,124.0,302.0
2022-08-18T09:00,44.7,27.5,15.4,23.7,131.0,301.0
2022-08-18T10:00,44.0,26.8,19.6,23.9,126.0,270.0
2022-08-18T11:00,43.2,26.1,26.1,24.7,115.0,240.0
2022-08-18T12:00,44.6,27.0,35.8,25.5,95.0,356.0
2022-08-18T13:00,55.1,35.2,50.0,32.4,70.0,909.0
2022-08-18T14:00,79.6,52.3,70.0,42.1,36.0,1690.0
2022-08-18T15:00,94.1,62.4,88.8,49.6,0.0,2377.0
2022-08-18T16:00,84.3,55.6,89.3,46.0,-7.0,2288.0
2022-08-18T17:00,72.4,47.1,83.2,37.8,-4.0,1897.0
2022-08-18T18:00,63.3,40.7,72.2,28.0,3.0,1365.0
2022-08-18T19:00,56.5,36.0,63.8,24.8,7.0,1104.0
2022-08-18T20:00,52.3,33.2,53.8,22.8,13.0,863.0
2022-08-18T21:00,48.3,30.4,41.5,20.7,20.0,603.0
2022-08-18T22:00,44.6,27.6,33.9,18.8,24.0,468.0
2022-08-18T23:00,40.0,24.2,27.0,17.0,27.0,376.0
2022-08-19T00:00,39.5,24.3,28.0,18.1,24.0,363.0
2022-08-19T01:00,36.9,22.6,26.5,18.7,28.0,364.0
2022-08-19T02:00,29.2,16.3,24.4,19.5,34.0,364.0
